delay_list,defect_list,delay_lengths_list,delayed_shipping_time_list,shipping_num_list,total_output_list,total_components_shipped_list
2,3394,12289.381589659377,102649.38158965937,10,3500,18106
1,3176,10435.288300038226,73075.28830003823,7,1500,12224
1,4109,5617.501897080593,106777.5018970806,11,4000,19191
1,4655,7401.815437651846,108561.81543765185,11,5000,18645
2,5241,15811.890482859719,95371.89048285972,9,2500,14459
2,4989,16196.52563657216,137156.52563657216,13,4500,22611
1,4015,10262.445616843186,100622.44561684318,10,4500,17485
0,4026,0,90360.0,10,4000,17474
0,4367,0,101160.0,11,4000,18933
2,6311,13438.617129017346,145198.61712901734,14,5000,22078
