delay_list,defect_list,delay_lengths_list,delayed_shipping_time_list,shipping_num_list,total_output_list,total_components_shipped_list
4,6604,29719.86378058345,87679.86378058343,7,1000,9496
0,5033,0,41040.0,5,500,6767
5,6305,31939.9780034762,111499.9780034762,9,3000,13395
5,8066,25218.797337144137,93978.79733714415,8,2000,9834
4,6455,28291.405667865893,107851.4056678659,9,3500,13245
3,8745,16627.846273714382,63787.846273714385,6,0,5555
6,7374,30397.92093378491,135877.92093378492,12,3500,17595
6,6601,29480.338151171454,87440.33815117145,7,2000,7945
5,7651,32202.557751352935,131562.55775135293,11,3500,14106
6,5963,32699.79159705667,132059.79159705667,11,4500,17081
